nohup: ignoring input
[2023-05-13 20:51:26.895] [info] Retrieval method_name RtreeItemOnly, dataset_name yelp-32d, topk 100
[2023-05-13 20:51:26.895] [info] dataset_dir /home/zhengbian/Dataset/ReverseMIPS
[2023-05-13 20:51:26.895] [info] index_dir /home/zhengbian/reverse-k-ranks/index
[2023-05-13 20:51:30.263] [info] n_data_item 159585, n_query_item 1000, n_user 2189457, vec_dim 32
[2023-05-13 20:51:30.263] [info] input parameter: stop_time 49000s
159585 entries created
3000 entries inserted, progress 1.87988%, batch time 2.26252s, passed time 2.26252s, predicted finish time 120.315s
6000 entries inserted, progress 3.75975%, batch time 3.65317s, passed time 5.91569s, predicted finish time 157.316s
9000 entries inserted, progress 5.63963%, batch time 4.05211s, passed time 9.9678s, predicted finish time 176.726s
12000 entries inserted, progress 7.5195%, batch time 4.72394s, passed time 14.6917s, predicted finish time 195.366s
15000 entries inserted, progress 9.39938%, batch time 5.35807s, passed time 20.0498s, predicted finish time 213.296s
18000 entries inserted, progress 11.2793%, batch time 6.28437s, passed time 26.3342s, predicted finish time 233.461s
21000 entries inserted, progress 13.1591%, batch time 6.30504s, passed time 32.6392s, predicted finish time 248.023s
24000 entries inserted, progress 15.039%, batch time 7.87779s, passed time 40.517s, predicted finish time 269.402s
27000 entries inserted, progress 16.9189%, batch time 8.33654s, passed time 48.8535s, predicted finish time 288.741s
30000 entries inserted, progress 18.7988%, batch time 8.8501s, passed time 57.7037s, predicted finish time 306.944s
33000 entries inserted, progress 20.6786%, batch time 7.95975s, passed time 65.6634s, predicted finish time 317.533s
36000 entries inserted, progress 22.5585%, batch time 9.02152s, passed time 74.6849s, predicted finish time 331.063s
39000 entries inserted, progress 24.4384%, batch time 9.86695s, passed time 84.5519s, predicted finish time 345.971s
42000 entries inserted, progress 26.3183%, batch time 11.5177s, passed time 96.0696s, predicted finish time 365.021s
45000 entries inserted, progress 28.1981%, batch time 10.7135s, passed time 106.783s, predicted finish time 378.68s
48000 entries inserted, progress 30.078%, batch time 11.2827s, passed time 118.066s, predicted finish time 392.524s
51000 entries inserted, progress 31.9579%, batch time 12.4746s, passed time 130.54s, predicted finish time 408.468s
54000 entries inserted, progress 33.8378%, batch time 12.8566s, passed time 143.397s, predicted finish time 423.77s
57000 entries inserted, progress 35.7176%, batch time 14.0551s, passed time 157.452s, predicted finish time 440.817s
60000 entries inserted, progress 37.5975%, batch time 13.184s, passed time 170.636s, predicted finish time 453.842s
63000 entries inserted, progress 39.4774%, batch time 13.0751s, passed time 183.711s, predicted finish time 465.351s
66000 entries inserted, progress 41.3573%, batch time 13.9815s, passed time 197.693s, predicted finish time 478.005s
69000 entries inserted, progress 43.2371%, batch time 14.2057s, passed time 211.898s, predicted finish time 490.077s
72000 entries inserted, progress 45.117%, batch time 14.4969s, passed time 226.395s, predicted finish time 501.789s
75000 entries inserted, progress 46.9969%, batch time 15.4142s, passed time 241.81s, predicted finish time 514.516s
78000 entries inserted, progress 48.8768%, batch time 18.4394s, passed time 260.249s, predicted finish time 532.452s
81000 entries inserted, progress 50.7567%, batch time 19.3112s, passed time 279.56s, predicted finish time 550.778s
84000 entries inserted, progress 52.6365%, batch time 19.5906s, passed time 299.151s, predicted finish time 568.326s
87000 entries inserted, progress 54.5164%, batch time 20.7925s, passed time 319.943s, predicted finish time 586.868s
90000 entries inserted, progress 56.3963%, batch time 21.4228s, passed time 341.366s, predicted finish time 605.292s
93000 entries inserted, progress 58.2762%, batch time 22.3577s, passed time 363.724s, predicted finish time 624.132s
96000 entries inserted, progress 60.156%, batch time 22.2162s, passed time 385.94s, predicted finish time 641.558s
99000 entries inserted, progress 62.0359%, batch time 23.6421s, passed time 409.582s, predicted finish time 660.227s
102000 entries inserted, progress 63.9158%, batch time 20.76s, passed time 430.342s, predicted finish time 673.289s
105000 entries inserted, progress 65.7957%, batch time 20.0675s, passed time 450.41s, predicted finish time 684.552s
108000 entries inserted, progress 67.6755%, batch time 21.5108s, passed time 471.92s, predicted finish time 697.322s
111000 entries inserted, progress 69.5554%, batch time 21.9898s, passed time 493.91s, predicted finish time 710.09s
114000 entries inserted, progress 71.4353%, batch time 23.0396s, passed time 516.95s, predicted finish time 723.655s
117000 entries inserted, progress 73.3152%, batch time 22.4103s, passed time 539.36s, predicted finish time 735.667s
120000 entries inserted, progress 75.195%, batch time 22.5087s, passed time 561.869s, predicted finish time 747.209s
123000 entries inserted, progress 77.0749%, batch time 21.5673s, passed time 583.436s, predicted finish time 756.967s
126000 entries inserted, progress 78.9548%, batch time 20.8784s, passed time 604.315s, predicted finish time 765.387s
129000 entries inserted, progress 80.8347%, batch time 23.4175s, passed time 627.732s, predicted finish time 776.557s
132000 entries inserted, progress 82.7145%, batch time 22.7749s, passed time 650.507s, predicted finish time 786.442s
135000 entries inserted, progress 84.5944%, batch time 24.0581s, passed time 674.565s, predicted finish time 797.405s
138000 entries inserted, progress 86.4743%, batch time 23.8517s, passed time 698.417s, predicted finish time 807.652s
141000 entries inserted, progress 88.3542%, batch time 23.3157s, passed time 721.732s, predicted finish time 816.857s
144000 entries inserted, progress 90.234%, batch time 24.2104s, passed time 745.943s, predicted finish time 826.67s
147000 entries inserted, progress 92.1139%, batch time 25.2749s, passed time 771.218s, predicted finish time 837.238s
150000 entries inserted, progress 93.9938%, batch time 24.678s, passed time 795.896s, predicted finish time 846.748s
153000 entries inserted, progress 95.8737%, batch time 23.5393s, passed time 819.435s, predicted finish time 854.697s
156000 entries inserted, progress 97.7535%, batch time 23.7647s, passed time 843.2s, predicted finish time 862.572s
159000 entries inserted, progress 99.6334%, batch time 23.3972s, passed time 866.597s, predicted finish time 869.78s
159585 entries created
[2023-05-13 21:06:03.713] [info] finish preprocess and save the index
[2023-05-13 22:58:42.100] [info] finish queryID 628, single_query_retrieval_time 6758.39s, ip_cost 5113160725, n_proc_query 1.00
150000 entries inserted, progress 93.9938%, batch time 24.5474s, passed time 790.801s, predicted finish time 841.327s
153000 entries inserted, progress 95.8737%, batch time 23.4296s, passed time 814.23s, predicted finish time 849.269s
156000 entries inserted, progress 97.7535%, batch time 23.5945s, passed time 837.825s, predicted finish time 857.073s
159000 entries inserted, progress 99.6334%, batch time 23.1642s, passed time 860.989s, predicted finish time 864.151s
159585 entries created
2189457 entries created
3000 entries inserted, progress 0.13702%, batch time 2.47335s, passed time 2.47335s, predicted finish time 1804.5s
6000 entries inserted, progress 0.274041%, batch time 3.80467s, passed time 6.27803s, predicted finish time 2290.53s
9000 entries inserted, progress 0.411061%, batch time 4.6203s, passed time 10.8983s, predicted finish time 2650.97s
12000 entries inserted, progress 0.548081%, batch time 5.08378s, passed time 15.9821s, predicted finish time 2915.77s
15000 entries inserted, progress 0.685101%, batch time 6.7468s, passed time 22.7289s, predicted finish time 3317.38s
18000 entries inserted, progress 0.822122%, batch time 7.07706s, passed time 29.806s, predicted finish time 3625.29s
21000 entries inserted, progress 0.959142%, batch time 7.53544s, passed time 37.3414s, predicted finish time 3893.02s
24000 entries inserted, progress 1.09616%, batch time 9.42182s, passed time 46.7632s, predicted finish time 4265.91s
27000 entries inserted, progress 1.23318%, batch time 10.6216s, passed time 57.3848s, predicted finish time 4653.22s
30000 entries inserted, progress 1.3702%, batch time 11.932s, passed time 69.3168s, predicted finish time 5058.7s
33000 entries inserted, progress 1.50722%, batch time 12.4416s, passed time 81.7583s, predicted finish time 5424.27s
36000 entries inserted, progress 1.64424%, batch time 9.68755s, passed time 91.4459s, predicted finish time 5561.42s
39000 entries inserted, progress 1.78126%, batch time 10.0679s, passed time 101.514s, predicted finish time 5698.83s
42000 entries inserted, progress 1.91828%, batch time 10.1556s, passed time 111.669s, predicted finish time 5821.18s
45000 entries inserted, progress 2.0553%, batch time 13.7674s, passed time 125.437s, predicted finish time 6102.94s
48000 entries inserted, progress 2.19232%, batch time 15.8234s, passed time 141.26s, predicted finish time 6443.27s
51000 entries inserted, progress 2.32934%, batch time 16.4191s, passed time 157.679s, predicted finish time 6769.13s
54000 entries inserted, progress 2.46636%, batch time 17.0855s, passed time 174.765s, predicted finish time 7085.8s
57000 entries inserted, progress 2.60339%, batch time 18.7318s, passed time 193.497s, predicted finish time 7432.38s
60000 entries inserted, progress 2.74041%, batch time 19.9696s, passed time 213.466s, predicted finish time 7789.46s
63000 entries inserted, progress 2.87743%, batch time 20.622s, passed time 234.088s, predicted finish time 8135.21s
66000 entries inserted, progress 3.01445%, batch time 21.099s, passed time 255.187s, predicted finish time 8465.35s
69000 entries inserted, progress 3.15147%, batch time 16.066s, passed time 271.253s, predicted finish time 8607.09s
72000 entries inserted, progress 3.28849%, batch time 16.03s, passed time 287.283s, predicted finish time 8735.92s
75000 entries inserted, progress 3.42551%, batch time 17.8364s, passed time 305.12s, predicted finish time 8907.17s
78000 entries inserted, progress 3.56253%, batch time 23.7795s, passed time 328.899s, predicted finish time 9232.07s
81000 entries inserted, progress 3.69955%, batch time 17.4273s, passed time 346.327s, predicted finish time 9361.21s
84000 entries inserted, progress 3.83657%, batch time 17.6974s, passed time 364.024s, predicted finish time 9488.16s
87000 entries inserted, progress 3.97359%, batch time 24.2663s, passed time 388.29s, predicted finish time 9771.67s
90000 entries inserted, progress 4.11061%, batch time 26.6253s, passed time 414.916s, predicted finish time 10093.7s
93000 entries inserted, progress 4.24763%, batch time 27.677s, passed time 442.593s, predicted finish time 10419.6s
96000 entries inserted, progress 4.38465%, batch time 29.1936s, passed time 471.786s, predicted finish time 10759.8s
99000 entries inserted, progress 4.52167%, batch time 29.9878s, passed time 501.774s, predicted finish time 11097s
102000 entries inserted, progress 4.65869%, batch time 31.3856s, passed time 533.159s, predicted finish time 11444.3s
105000 entries inserted, progress 4.79571%, batch time 32.6615s, passed time 565.821s, predicted finish time 11798.4s
108000 entries inserted, progress 4.93273%, batch time 29.2165s, passed time 595.037s, predicted finish time 12062.9s
111000 entries inserted, progress 5.06975%, batch time 26.4671s, passed time 621.505s, predicted finish time 12259s
114000 entries inserted, progress 5.20677%, batch time 27.2006s, passed time 648.705s, predicted finish time 12458.8s
117000 entries inserted, progress 5.34379%, batch time 31.4234s, passed time 680.129s, predicted finish time 12727.3s
120000 entries inserted, progress 5.48081%, batch time 33.2527s, passed time 713.381s, predicted finish time 13015.9s
123000 entries inserted, progress 5.61783%, batch time 37.002s, passed time 750.383s, predicted finish time 13357.1s
126000 entries inserted, progress 5.75485%, batch time 38.2709s, passed time 788.654s, predicted finish time 13704.1s
129000 entries inserted, progress 5.89187%, batch time 39.9095s, passed time 828.564s, predicted finish time 14062.7s
132000 entries inserted, progress 6.02889%, batch time 33.3043s, passed time 861.868s, predicted finish time 14295.5s
135000 entries inserted, progress 6.16591%, batch time 27.0707s, passed time 888.939s, predicted finish time 14416.9s
138000 entries inserted, progress 6.30293%, batch time 27.0429s, passed time 915.982s, predicted finish time 14532.5s
141000 entries inserted, progress 6.43995%, batch time 27.1306s, passed time 943.112s, predicted finish time 14644.6s
144000 entries inserted, progress 6.57697%, batch time 26.8796s, passed time 969.992s, predicted finish time 14748.2s
147000 entries inserted, progress 6.71399%, batch time 29.6875s, passed time 999.679s, predicted finish time 14889.4s
150000 entries inserted, progress 6.85101%, batch time 34.9742s, passed time 1034.65s, predicted finish time 15102.1s
153000 entries inserted, progress 6.98803%, batch time 29.1893s, passed time 1063.84s, predicted finish time 15223.7s
156000 entries inserted, progress 7.12505%, batch time 29.1459s, passed time 1092.99s, predicted finish time 15340s
159000 entries inserted, progress 7.26207%, batch time 31.7969s, passed time 1124.79s, predicted finish time 15488.4s
162000 entries inserted, progress 7.39909%, batch time 44.1019s, passed time 1168.89s, predicted finish time 15797.6s
165000 entries inserted, progress 7.53612%, batch time 48.2644s, passed time 1217.15s, predicted finish time 16150.8s
168000 entries inserted, progress 7.67314%, batch time 53.4704s, passed time 1270.62s, predicted finish time 16559.3s
171000 entries inserted, progress 7.81016%, batch time 55.9081s, passed time 1326.53s, predicted finish time 16984.6s
174000 entries inserted, progress 7.94718%, batch time 57.5634s, passed time 1384.09s, predicted finish time 17416.1s
177000 entries inserted, progress 8.0842%, batch time 60.3677s, passed time 1444.46s, predicted finish time 17867.6s
180000 entries inserted, progress 8.22122%, batch time 62.0508s, passed time 1506.51s, predicted finish time 18324.6s
183000 entries inserted, progress 8.35824%, batch time 64.7163s, passed time 1571.23s, predicted finish time 18798.5s
186000 entries inserted, progress 8.49526%, batch time 66.3505s, passed time 1637.58s, predicted finish time 19276.3s
189000 entries inserted, progress 8.63228%, batch time 66.9403s, passed time 1704.52s, predicted finish time 19745.8s
192000 entries inserted, progress 8.7693%, batch time 67.9985s, passed time 1772.52s, predicted finish time 20212.7s
195000 entries inserted, progress 8.90632%, batch time 68.7233s, passed time 1841.24s, predicted finish time 20673.3s
198000 entries inserted, progress 9.04334%, batch time 70.6528s, passed time 1911.89s, predicted finish time 21141.4s
201000 entries inserted, progress 9.18036%, batch time 73.2694s, passed time 1985.16s, predicted finish time 21623.9s
204000 entries inserted, progress 9.31738%, batch time 73.7406s, passed time 2058.9s, predicted finish time 22097.3s
207000 entries inserted, progress 9.4544%, batch time 76.2659s, passed time 2135.17s, predicted finish time 22583.8s
210000 entries inserted, progress 9.59142%, batch time 78.2442s, passed time 2213.41s, predicted finish time 23076.9s
213000 entries inserted, progress 9.72844%, batch time 79.8147s, passed time 2293.23s, predicted finish time 23572.3s
216000 entries inserted, progress 9.86546%, batch time 80.9838s, passed time 2374.21s, predicted finish time 24065.8s
219000 entries inserted, progress 10.0025%, batch time 84.3903s, passed time 2458.6s, predicted finish time 24579.8s
222000 entries inserted, progress 10.1395%, batch time 81.2095s, passed time 2539.81s, predicted finish time 25048.6s
225000 entries inserted, progress 10.2765%, batch time 87.3309s, passed time 2627.14s, predicted finish time 25564.4s
228000 entries inserted, progress 10.4135%, batch time 90.0466s, passed time 2717.19s, predicted finish time 26092.7s
231000 entries inserted, progress 10.5506%, batch time 91.5242s, passed time 2808.71s, predicted finish time 26621.3s
234000 entries inserted, progress 10.6876%, batch time 94.3932s, passed time 2903.11s, predicted finish time 27163.3s
237000 entries inserted, progress 10.8246%, batch time 95.211s, passed time 2998.32s, predicted finish time 27699s
240000 entries inserted, progress 10.9616%, batch time 98.1362s, passed time 3096.45s, predicted finish time 28248s
243000 entries inserted, progress 11.0986%, batch time 99.449s, passed time 3195.9s, predicted finish time 28795.3s
246000 entries inserted, progress 11.2357%, batch time 102.141s, passed time 3298.04s, predicted finish time 29353.2s
249000 entries inserted, progress 11.3727%, batch time 104.003s, passed time 3402.05s, predicted finish time 29914.1s
252000 entries inserted, progress 11.5097%, batch time 104.853s, passed time 3506.9s, predicted finish time 30469s
255000 entries inserted, progress 11.6467%, batch time 107.628s, passed time 3614.53s, predicted finish time 31034.6s
258000 entries inserted, progress 11.7837%, batch time 109.317s, passed time 3723.85s, predicted finish time 31601.4s
261000 entries inserted, progress 11.9208%, batch time 112.812s, passed time 3836.66s, predicted finish time 32184.5s
264000 entries inserted, progress 12.0578%, batch time 113.364s, passed time 3950.02s, predicted finish time 32759s
267000 entries inserted, progress 12.1948%, batch time 115.988s, passed time 4066.01s, predicted finish time 33342s
270000 entries inserted, progress 12.3318%, batch time 118.559s, passed time 4184.57s, predicted finish time 33933s
273000 entries inserted, progress 12.4688%, batch time 119.083s, passed time 4303.65s, predicted finish time 34515.1s
276000 entries inserted, progress 12.6059%, batch time 122.231s, passed time 4425.88s, predicted finish time 35109.6s
279000 entries inserted, progress 12.7429%, batch time 122.951s, passed time 4548.83s, predicted finish time 35696.9s
282000 entries inserted, progress 12.8799%, batch time 125.88s, passed time 4674.71s, predicted finish time 36294.5s
285000 entries inserted, progress 13.0169%, batch time 126.478s, passed time 4801.19s, predicted finish time 36884.1s
288000 entries inserted, progress 13.1539%, batch time 129.474s, passed time 4930.67s, predicted finish time 37484.2s
291000 entries inserted, progress 13.291%, batch time 130.69s, passed time 5061.36s, predicted finish time 38081s
294000 entries inserted, progress 13.428%, batch time 132.364s, passed time 5193.72s, predicted finish time 38678.2s
297000 entries inserted, progress 13.565%, batch time 135.199s, passed time 5328.92s, predicted finish time 39284.2s
300000 entries inserted, progress 13.702%, batch time 136.44s, passed time 5465.36s, predicted finish time 39887.1s
303000 entries inserted, progress 13.839%, batch time 137.564s, passed time 5602.92s, predicted finish time 40486.2s
306000 entries inserted, progress 13.9761%, batch time 140.466s, passed time 5743.39s, predicted finish time 41094.3s
309000 entries inserted, progress 14.1131%, batch time 142.19s, passed time 5885.58s, predicted finish time 41702.9s
312000 entries inserted, progress 14.2501%, batch time 143.898s, passed time 6029.48s, predicted finish time 42311.7s
315000 entries inserted, progress 14.3871%, batch time 146.703s, passed time 6176.18s, predicted finish time 42928.4s
318000 entries inserted, progress 14.5241%, batch time 147.416s, passed time 6323.6s, predicted finish time 43538.4s
321000 entries inserted, progress 14.6612%, batch time 149.531s, passed time 6473.13s, predicted finish time 44151.4s
324000 entries inserted, progress 14.7982%, batch time 151.417s, passed time 6624.54s, predicted finish time 44765.8s
327000 entries inserted, progress 14.9352%, batch time 152.797s, passed time 6777.34s, predicted finish time 45378.1s
330000 entries inserted, progress 15.0722%, batch time 155.189s, passed time 6932.53s, predicted finish time 45995.2s
333000 entries inserted, progress 15.2093%, batch time 156.403s, passed time 7088.93s, predicted finish time 46609.2s
336000 entries inserted, progress 15.3463%, batch time 158.855s, passed time 7247.79s, predicted finish time 47228.2s
339000 entries inserted, progress 15.4833%, batch time 160.836s, passed time 7408.62s, predicted finish time 47849s
342000 entries inserted, progress 15.6203%, batch time 161.172s, passed time 7569.8s, predicted finish time 48461.1s
345000 entries inserted, progress 15.7573%, batch time 164.24s, passed time 7734.04s, predicted finish time 49082s
348000 entries inserted, progress 15.8944%, batch time 165.564s, passed time 7899.6s, predicted finish time 49700.5s
351000 entries inserted, progress 16.0314%, batch time 167.331s, passed time 8066.93s, predicted finish time 50319.5s
354000 entries inserted, progress 16.1684%, batch time 169.164s, passed time 8236.1s, predicted finish time 50939.3s
357000 entries inserted, progress 16.3054%, batch time 171.54s, passed time 8407.64s, predicted finish time 51563.3s
360000 entries inserted, progress 16.4424%, batch time 174.223s, passed time 8581.86s, predicted finish time 52193.2s
363000 entries inserted, progress 16.5795%, batch time 174.588s, passed time 8756.45s, predicted finish time 52814.9s
366000 entries inserted, progress 16.7165%, batch time 176.387s, passed time 8932.83s, predicted finish time 53437.2s
369000 entries inserted, progress 16.8535%, batch time 178.789s, passed time 9111.62s, predicted finish time 54063.6s
372000 entries inserted, progress 16.9905%, batch time 179.668s, passed time 9291.29s, predicted finish time 54685s
375000 entries inserted, progress 17.1275%, batch time 181.484s, passed time 9472.77s, predicted finish time 55307.1s
378000 entries inserted, progress 17.2646%, batch time 183.311s, passed time 9656.09s, predicted finish time 55930s
381000 entries inserted, progress 17.4016%, batch time 185.1s, passed time 9841.19s, predicted finish time 56553.3s
384000 entries inserted, progress 17.5386%, batch time 187.544s, passed time 10028.7s, predicted finish time 57180.8s
387000 entries inserted, progress 17.6756%, batch time 189.247s, passed time 10218s, predicted finish time 57808.2s
390000 entries inserted, progress 17.8126%, batch time 191.767s, passed time 10409.7s, predicted finish time 58440.1s
393000 entries inserted, progress 17.9497%, batch time 192.493s, passed time 10602.2s, predicted finish time 59066.4s
396000 entries inserted, progress 18.0867%, batch time 196.227s, passed time 10798.5s, predicted finish time 59703.8s
399000 entries inserted, progress 18.2237%, batch time 197.361s, passed time 10995.8s, predicted finish time 60337.9s
402000 entries inserted, progress 18.3607%, batch time 197.752s, passed time 11193.6s, predicted finish time 60964.7s
405000 entries inserted, progress 18.4977%, batch time 200.891s, passed time 11394.5s, predicted finish time 61599.1s
408000 entries inserted, progress 18.6348%, batch time 202.002s, passed time 11596.5s, predicted finish time 62230.2s
411000 entries inserted, progress 18.7718%, batch time 204.627s, passed time 11801.1s, predicted finish time 62866s
414000 entries inserted, progress 18.9088%, batch time 205.704s, passed time 12006.8s, predicted finish time 63498.3s
417000 entries inserted, progress 19.0458%, batch time 207.064s, passed time 12213.9s, predicted finish time 64128.7s
420000 entries inserted, progress 19.1828%, batch time 210.188s, passed time 12424.1s, predicted finish time 64766.3s
423000 entries inserted, progress 19.3199%, batch time 210.331s, passed time 12634.4s, predicted finish time 65395.7s
426000 entries inserted, progress 19.4569%, batch time 211.393s, passed time 12845.8s, predicted finish time 66021.6s
429000 entries inserted, progress 19.5939%, batch time 214.788s, passed time 13060.6s, predicted finish time 66656.1s
432000 entries inserted, progress 19.7309%, batch time 215.865s, passed time 13276.4s, predicted finish time 67287.3s
435000 entries inserted, progress 19.8679%, batch time 217.686s, passed time 13494.1s, predicted finish time 67918.9s
438000 entries inserted, progress 20.005%, batch time 220.112s, passed time 13714.2s, predicted finish time 68554s
441000 entries inserted, progress 20.142%, batch time 220.93s, passed time 13935.2s, predicted finish time 69184.5s
444000 entries inserted, progress 20.279%, batch time 221.96s, passed time 14157.1s, predicted finish time 69811.6s
447000 entries inserted, progress 20.416%, batch time 226.214s, passed time 14383.3s, predicted finish time 70451s
450000 entries inserted, progress 20.553%, batch time 225.523s, passed time 14608.9s, predicted finish time 71078.6s
453000 entries inserted, progress 20.6901%, batch time 228.908s, passed time 14837.8s, predicted finish time 71714.3s
456000 entries inserted, progress 20.8271%, batch time 229.904s, passed time 15067.7s, predicted finish time 72346.4s
459000 entries inserted, progress 20.9641%, batch time 232.441s, passed time 15300.1s, predicted finish time 72982.3s
462000 entries inserted, progress 21.1011%, batch time 232.447s, passed time 15532.6s, predicted finish time 73609.9s
465000 entries inserted, progress 21.2381%, batch time 236.031s, passed time 15768.6s, predicted finish time 74246.4s
468000 entries inserted, progress 21.3752%, batch time 235.995s, passed time 16004.6s, predicted finish time 74874.5s
471000 entries inserted, progress 21.5122%, batch time 239.273s, passed time 16243.9s, predicted finish time 75509.9s
474000 entries inserted, progress 21.6492%, batch time 241.516s, passed time 16485.4s, predicted finish time 76147.5s
477000 entries inserted, progress 21.7862%, batch time 244.285s, passed time 16729.7s, predicted finish time 76789.9s
480000 entries inserted, progress 21.9232%, batch time 244.296s, passed time 16974s, predicted finish time 77424.3s
483000 entries inserted, progress 22.0603%, batch time 246.041s, passed time 17220s, predicted finish time 78058.7s
486000 entries inserted, progress 22.1973%, batch time 247.907s, passed time 17467.9s, predicted finish time 78693.7s
489000 entries inserted, progress 22.3343%, batch time 250.578s, passed time 17718.5s, predicted finish time 79332.8s
492000 entries inserted, progress 22.4713%, batch time 252.379s, passed time 17970.9s, predicted finish time 79972.2s
495000 entries inserted, progress 22.6083%, batch time 254.171s, passed time 18225s, predicted finish time 80611.8s
498000 entries inserted, progress 22.7454%, batch time 254.014s, passed time 18479s, predicted finish time 81242.9s
501000 entries inserted, progress 22.8824%, batch time 257.893s, passed time 18736.9s, predicted finish time 81883.5s
504000 entries inserted, progress 23.0194%, batch time 258.732s, passed time 18995.7s, predicted finish time 82520.1s
507000 entries inserted, progress 23.1564%, batch time 261.271s, passed time 19256.9s, predicted finish time 83160.1s
510000 entries inserted, progress 23.2934%, batch time 261.175s, passed time 19518.1s, predicted finish time 83792.1s
513000 entries inserted, progress 23.4305%, batch time 264.894s, passed time 19783s, predicted finish time 84432.7s
516000 entries inserted, progress 23.5675%, batch time 264.574s, passed time 20047.6s, predicted finish time 85064.4s
519000 entries inserted, progress 23.7045%, batch time 268.438s, passed time 20316s, predicted finish time 85705.1s
522000 entries inserted, progress 23.8415%, batch time 269.258s, passed time 20585.3s, predicted finish time 86341.9s
525000 entries inserted, progress 23.9785%, batch time 272.836s, passed time 20858.1s, predicted finish time 86986.4s
528000 entries inserted, progress 24.1156%, batch time 273.577s, passed time 21131.7s, predicted finish time 87626.6s
531000 entries inserted, progress 24.2526%, batch time 275.525s, passed time 21407.2s, predicted finish time 88267.6s
534000 entries inserted, progress 24.3896%, batch time 277.417s, passed time 21684.6s, predicted finish time 88909.1s
537000 entries inserted, progress 24.5266%, batch time 277.872s, passed time 21962.5s, predicted finish time 89545.4s
540000 entries inserted, progress 24.6636%, batch time 278.347s, passed time 22240.8s, predicted finish time 90176.5s
543000 entries inserted, progress 24.8007%, batch time 282.221s, passed time 22523.1s, predicted finish time 90816.2s
546000 entries inserted, progress 24.9377%, batch time 283.97s, passed time 22807s, predicted finish time 91455.9s
549000 entries inserted, progress 25.0747%, batch time 284.696s, passed time 23091.7s, predicted finish time 92091.6s
552000 entries inserted, progress 25.2117%, batch time 286.522s, passed time 23378.3s, predicted finish time 92727.5s
555000 entries inserted, progress 25.3488%, batch time 288.414s, passed time 23666.7s, predicted finish time 93364.1s
558000 entries inserted, progress 25.4858%, batch time 289.96s, passed time 23956.6s, predicted finish time 93999.9s
561000 entries inserted, progress 25.6228%, batch time 291.857s, passed time 24248.5s, predicted finish time 94636.2s
564000 entries inserted, progress 25.7598%, batch time 293.629s, passed time 24542.1s, predicted finish time 95272.7s
567000 entries inserted, progress 25.8968%, batch time 296.536s, passed time 24838.7s, predicted finish time 95913.7s
570000 entries inserted, progress 26.0339%, batch time 298.309s, passed time 25137s, predicted finish time 96554.7s
573000 entries inserted, progress 26.1709%, batch time 299.046s, passed time 25436s, predicted finish time 97191.9s
576000 entries inserted, progress 26.3079%, batch time 300.437s, passed time 25736.4s, predicted finish time 97827.7s
579000 entries inserted, progress 26.4449%, batch time 301.827s, passed time 26038.3s, predicted finish time 98462.1s
582000 entries inserted, progress 26.5819%, batch time 303.543s, passed time 26341.8s, predicted finish time 99096.5s
585000 entries inserted, progress 26.719%, batch time 305.354s, passed time 26647.2s, predicted finish time 99731.2s
588000 entries inserted, progress 26.856%, batch time 308.296s, passed time 26955.5s, predicted finish time 100370s
591000 entries inserted, progress 26.993%, batch time 308.707s, passed time 27264.2s, predicted finish time 101004s
594000 entries inserted, progress 27.13%, batch time 310.602s, passed time 27574.8s, predicted finish time 101639s
597000 entries inserted, progress 27.267%, batch time 314.682s, passed time 27889.5s, predicted finish time 102283s
600000 entries inserted, progress 27.4041%, batch time 314.325s, passed time 28203.8s, predicted finish time 102918s
603000 entries inserted, progress 27.5411%, batch time 317.146s, passed time 28520.9s, predicted finish time 103558s
606000 entries inserted, progress 27.6781%, batch time 318.993s, passed time 28839.9s, predicted finish time 104197s
609000 entries inserted, progress 27.8151%, batch time 319.439s, passed time 29159.4s, predicted finish time 104833s
612000 entries inserted, progress 27.9521%, batch time 321.24s, passed time 29480.6s, predicted finish time 105468s
615000 entries inserted, progress 28.0892%, batch time 323.023s, passed time 29803.6s, predicted finish time 106103s
618000 entries inserted, progress 28.2262%, batch time 324.834s, passed time 30128.5s, predicted finish time 106739s
621000 entries inserted, progress 28.3632%, batch time 326.458s, passed time 30454.9s, predicted finish time 107375s
624000 entries inserted, progress 28.5002%, batch time 329.738s, passed time 30784.7s, predicted finish time 108015s
627000 entries inserted, progress 28.6372%, batch time 330.104s, passed time 31114.8s, predicted finish time 108651s
630000 entries inserted, progress 28.7743%, batch time 331.977s, passed time 31446.7s, predicted finish time 109288s
633000 entries inserted, progress 28.9113%, batch time 334.835s, passed time 31781.6s, predicted finish time 109928s
636000 entries inserted, progress 29.0483%, batch time 336.675s, passed time 32118.2s, predicted finish time 110568s
639000 entries inserted, progress 29.1853%, batch time 341.011s, passed time 32459.3s, predicted finish time 111218s
642000 entries inserted, progress 29.3223%, batch time 338.984s, passed time 32798.2s, predicted finish time 111854s
645000 entries inserted, progress 29.4594%, batch time 340.533s, passed time 33138.8s, predicted finish time 112490s
648000 entries inserted, progress 29.5964%, batch time 342.369s, passed time 33481.1s, predicted finish time 113126s
651000 entries inserted, progress 29.7334%, batch time 344.189s, passed time 33825.3s, predicted finish time 113762s
654000 entries inserted, progress 29.8704%, batch time 348.46s, passed time 34173.8s, predicted finish time 114407s
